episode,reward,steps,outcome,env,blocks_placed,timestamp
1,75.5129,162,mission_ended,bridging,4,08:12:01
2,13.5632,174,mission_ended,bridging,0,08:12:32
3,13.9734,154,fell,bridging,0,08:13:03
4,25.1372,173,mission_ended,bridging,2,08:13:34
5,14.2333,136,fell,bridging,0,08:14:01
6,14.0964,173,mission_ended,bridging,0,08:14:33
7,35.4479,164,mission_ended,bridging,2,08:15:05
8,13.2307,173,mission_ended,bridging,0,08:15:36
9,23.0794,173,mission_ended,bridging,1,08:16:08
10,19.5941,173,mission_ended,bridging,1,08:16:40
11,13.2175,174,mission_ended,bridging,0,08:17:14
12,13.1615,174,mission_ended,bridging,0,08:17:49
13,14.394,166,mission_ended,bridging,0,08:18:21
14,13.9632,173,mission_ended,bridging,0,08:18:52
15,13.9564,174,mission_ended,bridging,0,08:19:24
16,46.7709,173,mission_ended,bridging,2,08:19:56
17,14.5369,174,mission_ended,bridging,0,08:20:30
18,48.2379,148,fell,bridging,1,08:21:00
19,30.285,164,mission_ended,bridging,2,08:21:31
20,13.0305,174,mission_ended,bridging,0,08:22:06
21,13.7576,174,mission_ended,bridging,0,08:22:41
22,13.6499,174,mission_ended,bridging,0,08:23:16
23,38.7724,174,mission_ended,bridging,1,08:23:50
24,19.2615,174,mission_ended,bridging,1,08:24:25
25,13.5443,163,mission_ended,bridging,0,08:24:56
26,9.9748,68,fell,bridging,0,08:25:12
27,41.0882,174,mission_ended,bridging,1,08:25:44
28,22.4236,11,fell,bridging,1,08:25:50
29,19.0773,173,mission_ended,bridging,1,08:26:21
30,14.2785,174,mission_ended,bridging,0,08:26:53
31,14.6164,174,mission_ended,bridging,0,08:27:25
32,24.2607,168,mission_ended,bridging,2,08:27:59
33,13.9257,173,mission_ended,bridging,0,08:28:31
34,14.0076,174,mission_ended,bridging,0,08:29:06
35,14.1242,174,mission_ended,bridging,0,08:29:40
36,25.7618,174,mission_ended,bridging,2,08:30:12
37,14.7738,173,mission_ended,bridging,0,08:30:44
38,13.6641,163,mission_ended,bridging,0,08:31:18
39,18.9734,173,mission_ended,bridging,1,08:31:50
40,14.6538,173,mission_ended,bridging,0,08:32:22
41,14.5758,173,mission_ended,bridging,0,08:32:53
42,13.9611,172,mission_ended,bridging,0,08:33:25
43,9.9678,173,mission_ended,bridging,0,08:33:57
44,14.2197,162,mission_ended,bridging,0,08:34:28
45,14.1259,173,mission_ended,bridging,0,08:35:00
46,13.6339,173,mission_ended,bridging,0,08:35:32
47,14.012,173,mission_ended,bridging,0,08:36:03
48,13.6001,173,mission_ended,bridging,0,08:36:35
49,15.0244,79,fell,bridging,0,08:36:52
50,13.8097,173,mission_ended,bridging,0,08:37:24
51,14.5149,164,mission_ended,bridging,0,08:37:56
52,19.8963,173,mission_ended,bridging,1,08:38:30
53,14.0815,173,mission_ended,bridging,0,08:39:02
54,23.7308,173,mission_ended,bridging,2,08:39:33
55,13.9133,173,mission_ended,bridging,0,08:40:05
56,14.7304,173,mission_ended,bridging,0,08:40:37
57,14.3308,164,mission_ended,bridging,0,08:41:08
58,14.3139,173,mission_ended,bridging,0,08:41:40
59,52.3752,173,mission_ended,bridging,2,08:42:12
60,44.8365,70,fell,bridging,1,08:42:28
61,14.2594,173,mission_ended,bridging,0,08:42:59
62,15.0443,173,mission_ended,bridging,0,08:43:31
63,13.3555,164,mission_ended,bridging,0,08:44:06
64,30.1716,173,mission_ended,bridging,2,08:44:37
65,13.9655,173,mission_ended,bridging,0,08:45:09
66,14.1508,173,mission_ended,bridging,0,08:45:40
67,11.1657,43,fell,bridging,0,08:45:52
68,14.0131,173,mission_ended,bridging,0,08:46:23
69,29.245,173,mission_ended,bridging,1,08:46:55
70,14.2507,133,fell,bridging,0,08:47:23
71,13.9279,173,mission_ended,bridging,0,08:47:55
72,18.8569,173,mission_ended,bridging,1,08:48:27
73,13.195,174,mission_ended,bridging,0,08:49:02
74,14.5384,173,mission_ended,bridging,0,08:49:33
75,51.5991,173,mission_ended,bridging,3,08:50:05
76,61.2353,165,mission_ended,bridging,5,08:50:39
77,20.1116,173,mission_ended,bridging,1,08:51:11
78,19.5995,173,mission_ended,bridging,1,08:51:43
79,13.8467,173,mission_ended,bridging,0,08:52:14
80,20.9248,72,fell,bridging,0,08:52:31
81,47.0528,173,mission_ended,bridging,4,08:53:02
82,13.5691,173,mission_ended,bridging,0,08:53:34
83,14.0717,165,mission_ended,bridging,0,08:54:06
84,25.5049,174,mission_ended,bridging,2,08:54:40
85,13.5925,173,mission_ended,bridging,0,08:55:12
86,13.1506,173,mission_ended,bridging,0,08:55:43
87,14.5513,174,mission_ended,bridging,0,08:56:18
88,15.4961,173,mission_ended,bridging,0,08:56:50
89,13.7849,163,mission_ended,bridging,0,08:57:21
90,71.2112,173,mission_ended,bridging,4,08:57:53
91,14.2075,173,mission_ended,bridging,0,08:58:25
92,27.6283,173,mission_ended,bridging,1,08:58:56
93,13.4887,173,mission_ended,bridging,0,08:59:28
94,13.7317,56,fell,bridging,0,08:59:41
95,13.7936,163,mission_ended,bridging,0,09:00:13
96,40.2386,173,mission_ended,bridging,1,09:00:44
97,19.5722,173,mission_ended,bridging,1,09:01:16
98,13.4542,173,mission_ended,bridging,0,09:01:48
99,13.7004,173,mission_ended,bridging,0,09:02:19
100,13.7435,173,mission_ended,bridging,0,09:02:51
101,13.8278,164,mission_ended,bridging,0,09:03:22
102,14.6716,173,mission_ended,bridging,0,09:03:54
103,41.1887,173,mission_ended,bridging,1,09:04:25
104,14.0213,173,mission_ended,bridging,0,09:04:57
105,46.7108,173,mission_ended,bridging,2,09:05:29
106,20.0478,173,mission_ended,bridging,1,09:06:00
107,14.2559,165,mission_ended,bridging,0,09:06:32
108,13.2725,174,mission_ended,bridging,0,09:07:07
109,14.1158,173,mission_ended,bridging,0,09:07:38
110,23.1791,173,mission_ended,bridging,1,09:08:10
111,13.7798,173,mission_ended,bridging,0,09:08:41
112,16.1248,137,fell,bridging,0,09:09:09
113,13.4561,165,mission_ended,bridging,0,09:09:40
114,62.3087,173,mission_ended,bridging,3,09:10:12
115,41.3706,173,mission_ended,bridging,1,09:10:44
116,13.7975,174,mission_ended,bridging,0,09:11:18
117,9.3739,173,mission_ended,bridging,0,09:11:50
118,14.3003,173,mission_ended,bridging,0,09:12:21
119,15.2555,165,mission_ended,bridging,0,09:12:53
120,13.6526,173,mission_ended,bridging,0,09:13:25
121,13.0117,173,mission_ended,bridging,0,09:13:56
122,20.5074,76,fell,bridging,1,09:14:13
123,15.0106,173,mission_ended,bridging,0,09:14:45
124,23.2417,156,fell,bridging,0,09:15:16
125,15.1801,137,fell,bridging,0,09:15:44
126,12.7783,164,mission_ended,bridging,0,09:16:15
127,30.4176,173,mission_ended,bridging,3,09:16:47
128,13.5373,174,mission_ended,bridging,0,09:17:22
129,14.3406,173,mission_ended,bridging,0,09:17:53
130,14.1674,173,mission_ended,bridging,0,09:18:25
131,23.8794,173,mission_ended,bridging,1,09:18:57
132,13.6954,163,mission_ended,bridging,0,09:19:34
133,-5.0,10,mission_ended,bridging,0,09:20:08
134,14.5025,173,mission_ended,bridging,0,09:20:40
135,12.8976,174,mission_ended,bridging,0,09:21:15
136,41.3526,173,mission_ended,bridging,1,09:21:46
137,22.6464,51,fell,bridging,0,09:22:01
138,14.2671,176,mission_ended,bridging,0,09:22:33
139,41.1608,173,mission_ended,bridging,1,09:23:04
140,18.569,164,mission_ended,bridging,1,09:23:39
