episode,reward,steps,outcome,env,timestamp
1,-4.5909,89,mission_ended,bridging,22:59:39
2,-6.3699,90,mission_ended,bridging,23:00:07
3,-5.0015,32,fell,bridging,23:00:28
4,-4.2267,54,fell,bridging,23:00:52
5,-3.8004,29,fell,bridging,23:01:14
6,-6.14,49,fell,bridging,23:01:37
7,-4.594,60,fell,bridging,23:02:04
8,-4.016,19,fell,bridging,23:02:24
9,-4.615,92,mission_ended,bridging,23:02:55
10,-5.144,31,fell,bridging,23:03:16
11,-4.2759,77,fell,bridging,23:03:44
12,-3.5019,17,fell,bridging,23:04:02
13,-3.7176,88,mission_ended,bridging,23:04:30
14,-5.0792,39,fell,bridging,23:04:52
15,-6.82,90,mission_ended,bridging,23:05:25
16,-6.56,90,mission_ended,bridging,23:05:54
17,-5.0522,88,mission_ended,bridging,23:06:24
18,2.4422,91,mission_ended,bridging,23:06:52
19,-6.55,90,mission_ended,bridging,23:07:23
20,-5.08,9,fell,bridging,23:07:40
21,-5.12,15,fell,bridging,23:07:58
22,-3.9402,13,fell,bridging,23:08:16
23,-3.984,89,mission_ended,bridging,23:08:45
24,-5.0017,13,fell,bridging,23:09:04
25,-5.21,18,fell,bridging,23:09:23
26,-5.8003,64,fell,bridging,23:09:48
27,-2.658,16,fell,bridging,23:10:08
28,-6.7602,90,mission_ended,bridging,23:10:36
29,-4.0064,28,fell,bridging,23:10:57
30,-3.6031,9,fell,bridging,23:11:14
31,-5.692,45,fell,bridging,23:11:37
32,-5.3678,72,fell,bridging,23:12:05
33,-5.13,14,fell,bridging,23:12:24
34,-5.1242,15,fell,bridging,23:12:42
35,-4.4417,91,mission_ended,bridging,23:13:11
36,-5.05,9,fell,bridging,23:13:28
37,-5.1,11,fell,bridging,23:13:47
38,-1.642,46,fell,bridging,23:14:10
39,18.7268,60,landed,bridging,23:14:38
40,-5.73,23,fell,bridging,23:14:57
41,-3.7063,20,fell,bridging,23:15:16
42,-5.04,8,fell,bridging,23:15:33
43,-5.3766,88,mission_ended,bridging,23:16:03
44,-3.7006,90,mission_ended,bridging,23:16:32
45,-4.005,17,fell,bridging,23:16:50
46,-4.2094,61,fell,bridging,23:17:17
47,-5.2114,87,fell,bridging,23:17:45
