# env: bridging
# spawn: 0.5,46.0,1.5
# goal: 0.5,46.0,7.5
episode,step,x,y,z,yaw,pitch,on_ground,action,reward,done,outcome,env
0,1,0.5,46.0,1.5,0.0,70.0,0,sneak_down,0.0,0,alive,bridging
0,2,0.5,46.0,1.5,0.0,70.0,0,move_backward,0.0,0,alive,bridging
0,3,0.5,46.0,1.4537,0.0,70.0,0,move_backward,0.0,0,alive,bridging
0,4,0.5,46.0,1.3243,0.0,80.62,0,look_down,0.0,0,alive,bridging
0,5,0.5004,46.0,1.2399,8.82,90.0,0,turn_right,0.0,0,alive,bridging
0,6,0.5004,46.0,1.2399,29.88,90.0,0,look_down,0.0,0,alive,bridging
0,7,0.5004,46.0,1.2399,29.88,81.0,0,look_up,0.0,0,alive,bridging
0,8,0.5004,46.0,1.2399,29.88,59.94,0,move_forward,0.0,0,alive,bridging
0,9,0.4773,46.0,1.2652,29.88,59.94,0,turn_right,0.0,0,alive,bridging
0,10,0.4231,46.0,1.3299,51.12,59.94,0,turn_right,0.0,0,alive,bridging
0,11,0.4231,46.0,1.3299,51.12,59.94,0,move_backward,0.0,0,alive,bridging
0,12,0.4875,46.0,1.3187,51.12,59.94,0,strafe_left,0.0,0,alive,bridging
0,13,0.5702,46.0,1.3153,51.12,59.94,0,look_up,0.0,0,alive,bridging
0,14,0.5702,46.0,1.3153,51.12,59.94,0,move_backward,0.0,0,alive,bridging
0,15,0.646,46.0,1.2654,51.12,59.94,0,look_down,0.0,0,alive,bridging
0,16,0.6866,46.0,1.2326,51.12,59.94,0,look_up,-0.02,0,alive,bridging
0,17,0.6866,46.0,1.2326,51.12,59.94,0,move_forward,-0.02,0,alive,bridging
0,18,0.6411,46.0,1.2719,51.12,59.94,0,move_forward,-0.02,0,alive,bridging
0,19,0.565,46.0,1.3333,51.12,59.94,0,move_backward,-0.02,0,alive,bridging
0,20,0.4951,46.0,1.3897,51.12,59.94,0,place_block,-0.02,0,alive,bridging
0,21,0.4951,46.0,1.3897,51.12,59.94,0,sneak_up,-0.03,0,alive,bridging
0,22,0.4951,46.0,1.3897,51.12,59.94,0,move_backward,-0.03,0,alive,bridging
0,23,0.7073,46.0,1.2305,60.12,59.94,0,turn_right,-0.03,0,alive,bridging
0,24,0.906,46.0,1.1357,79.56,49.32,0,look_up,-0.03,0,alive,bridging
0,25,0.9442,46.0,1.1208,79.56,31.32,0,sneak_down,-0.02,0,alive,bridging
0,26,0.9442,46.0,1.1208,79.56,22.32,0,look_up,-0.02,0,alive,bridging
0,27,0.9442,46.0,1.1208,79.56,2.88,0,turn_right,-0.02,0,alive,bridging
