episode,reward,steps,outcome,env,timestamp
464,-0.4684,18,fell,one_block_gap,11:09:21
465,-2.0571,19,fell,one_block_gap,11:09:28
466,-2.1314,22,fell,one_block_gap,11:09:36
467,-3.8721,15,fell,one_block_gap,11:09:42
468,12.2814,16,landed,one_block_gap,11:09:49
469,12.3532,12,landed,one_block_gap,11:10:04
470,12.217,12,landed,one_block_gap,11:10:20
471,-4.2022,7,fell,one_block_gap,11:10:35
472,-1.064,18,fell,one_block_gap,11:10:43
473,-1.7811,9,fell,one_block_gap,11:10:48
474,12.2334,15,landed,one_block_gap,11:10:55
475,-0.7807,19,fell,one_block_gap,11:11:11
476,-1.7598,20,fell,one_block_gap,11:11:19
477,12.3164,15,landed,one_block_gap,11:11:25
478,11.9578,24,landed,one_block_gap,11:11:43
479,12.2668,21,landed,one_block_gap,11:11:59
480,-2.7036,20,fell,one_block_gap,11:12:06
481,12.2908,12,landed,one_block_gap,11:12:12
482,12.0623,15,landed,one_block_gap,11:12:29
483,-2.7209,9,fell,one_block_gap,11:12:44
484,-2.5578,22,fell,one_block_gap,11:12:52
485,-2.2541,34,fell,one_block_gap,11:13:02
486,-2.4001,12,fell,one_block_gap,11:13:08
487,-1.4874,13,fell,one_block_gap,11:13:14
488,-4.7251,8,fell,one_block_gap,11:13:19
489,-1.2789,13,fell,one_block_gap,11:13:25
490,-2.9095,18,fell,one_block_gap,11:13:32
491,-1.347,21,fell,one_block_gap,11:13:40
492,-1.9916,17,fell,one_block_gap,11:13:47
493,-2.2243,14,fell,one_block_gap,11:13:53
494,12.3091,16,landed,one_block_gap,11:14:00
495,-0.6613,22,fell,one_block_gap,11:14:19
496,12.3211,12,landed,one_block_gap,11:14:25
497,-1.726,19,fell,one_block_gap,11:14:42
498,12.0298,14,landed,one_block_gap,11:14:48
499,-2.046,14,fell,one_block_gap,11:15:04
500,12.2379,11,landed,one_block_gap,11:15:10
501,-2.99,10,fell,one_block_gap,11:15:17
502,12.222,13,landed,one_block_gap,11:15:23
