update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.019794,3.95867,1.812198,0.000235,0.039332
2,-0.015979,2.131983,1.815693,0.000233,0.039017
3,-0.013899,2.330981,1.792574,0.000231,0.038709
4,-0.024009,2.545348,1.730303,0.000229,0.038401
5,-0.020826,1.924111,1.745784,0.000227,0.038093
6,-0.0143,2.572731,1.733536,0.000225,0.037778
7,-0.016822,1.813847,1.736197,0.000223,0.037477
8,-0.019603,2.655387,1.684793,0.000221,0.037169
9,-0.017244,2.959384,1.683966,0.00022,0.036861
10,-0.017944,2.70623,1.576279,0.000218,0.036553
11,-0.013333,3.004419,1.546052,0.000216,0.036238
12,-0.015996,2.654467,1.47644,0.000214,0.035923
13,-0.010088,3.187163,1.441222,0.000212,0.035594
14,-0.014523,2.971323,1.489818,0.00021,0.035279
15,-0.0149,3.02421,1.429158,0.000208,0.034964
16,-0.01192,3.089019,1.337086,0.000206,0.034642
17,-0.014883,3.295469,1.304395,0.000204,0.034306
18,-0.014956,2.958627,1.25288,0.000202,0.033984
19,-0.013802,3.022142,1.216035,0.0002,0.033676
20,-0.017838,2.794685,1.110885,0.000198,0.033347
21,-0.01214,2.315011,1.143017,0.000196,0.033018
22,-0.011954,2.386319,1.106516,0.000194,0.032703
23,-0.01084,2.398015,1.093865,0.000192,0.032374
24,-0.011092,2.616609,1.10648,0.00019,0.032038
25,-0.015167,2.515944,1.06557,0.000188,0.031716
26,-0.012674,2.377973,1.044966,0.000186,0.031387
27,-0.010947,2.332737,1.038926,0.000184,0.031051
28,-0.012746,2.428384,1.032811,0.000182,0.030722
29,-0.009441,2.243929,0.970729,0.00018,0.030386
30,-0.010104,2.20908,0.98408,0.000178,0.030071
31,-0.012105,2.022902,0.967788,0.000176,0.029742
32,-0.005915,2.048676,0.972106,0.000174,0.029413
33,-0.010296,1.919934,0.93816,0.000172,0.029091
34,-0.00622,2.123807,0.945066,0.00017,0.028762
35,-0.009028,1.72816,0.905469,0.000168,0.028433
36,-0.011999,2.046689,0.890808,0.000166,0.028097
37,-0.005002,1.586209,0.8497,0.000164,0.027754
38,-0.009855,1.647161,0.893747,0.000162,0.027425
39,-0.003164,1.89202,0.876759,0.00016,0.027082
40,-0.008369,1.778572,0.863447,0.000158,0.026753
41,-0.0049,1.833825,0.819868,0.000156,0.026417
42,-0.010023,1.392579,0.848689,0.000154,0.026088
43,-0.007178,1.440914,0.866209,0.000152,0.025752
44,-0.004437,2.070697,0.91667,0.00015,0.02543
45,-0.012498,4.103653,1.014562,0.000147,0.025073
46,-0.021372,3.671389,1.117234,0.000145,0.024709
47,-0.012954,2.082495,1.138182,0.000143,0.024359
48,-0.013878,1.801137,1.144116,0.000141,0.024023
49,-0.011901,1.751086,1.054546,0.000139,0.023687
50,-0.009267,1.391655,1.049986,0.000137,0.023365
51,-0.008511,1.275284,1.061367,0.000135,0.023029
52,-0.007512,1.073476,1.03638,0.000133,0.0227
53,-0.007495,1.48908,0.993653,0.000131,0.022378
54,-0.00293,1.156069,1.01547,0.000129,0.022049
55,-0.004307,1.176636,1.014371,0.000127,0.02172
56,-0.004203,1.031637,0.99997,0.000125,0.021405
57,-0.003153,1.338655,0.994197,0.000123,0.021076
58,-0.003885,0.855565,1.08013,0.000121,0.020761
59,-0.005561,1.611977,1.035239,0.000119,0.020432
60,-0.004547,1.202146,1.039933,0.000117,0.02011
61,-0.003281,1.506541,1.013722,0.000115,0.019781
62,-0.002774,1.063099,1.017714,0.000113,0.019459
63,-0.006286,1.166941,1.005804,0.000111,0.019137
64,-0.002381,1.038415,1.001189,0.000109,0.018822
