episode,reward,steps,outcome,timestamp
1,-5.5818,23,fell,10:08:42
2,-5.0848,11,fell,10:08:48
3,-6.0671,13,fell,10:08:54
4,-5.8038,28,fell,10:09:03
5,-6.5966,16,fell,10:09:09
6,-6.3792,19,fell,10:09:16
7,-5.2366,11,fell,10:09:22
8,-5.5,27,fell,10:09:31
9,-6.1332,25,fell,10:09:39
10,-6.2669,10,fell,10:09:45
11,-5.1573,11,fell,10:09:50
12,-5.1401,14,fell,10:09:57
13,-6.0788,10,fell,10:10:02
14,-6.7106,23,fell,10:10:10
15,-5.8085,7,fell,10:10:15
16,-6.1533,25,fell,10:10:24
17,-5.3652,9,fell,10:10:29
18,-5.1949,6,fell,10:10:34
19,-5.2214,20,fell,10:10:41
20,-4.242,11,fell,10:10:47
21,-4.685,14,fell,10:10:53
22,-5.3545,8,fell,10:10:59
23,-5.8484,12,fell,10:11:05
24,-5.6544,28,fell,10:11:14
25,-7.5908,50,fell,10:11:26
26,-4.343,15,fell,10:11:33
27,-6.095,12,fell,10:11:38
28,-6.2556,25,fell,10:11:47
29,-5.5,6,fell,10:11:52
30,-5.4567,7,fell,10:11:57
31,-4.9,17,fell,10:12:05
32,-5.4905,10,fell,10:12:09
33,-4.6556,15,fell,10:12:15
34,-4.6709,15,fell,10:12:22
35,-4.9614,8,fell,10:12:27
36,-6.1774,15,fell,10:12:34
37,-6.5146,18,fell,10:12:41
38,-5.1656,23,fell,10:12:49
39,-4.2,14,fell,10:12:55
40,-5.1672,23,fell,10:13:03
41,-4.9386,21,fell,10:13:10
42,-5.8633,9,fell,10:13:16
43,-4.7664,19,fell,10:13:23
44,-6.2484,25,fell,10:13:31
45,-5.2458,24,fell,10:13:39
46,-4.8853,21,fell,10:13:47
47,-5.1947,16,fell,10:13:53
48,-6.9665,20,fell,10:14:01
49,-5.0523,17,fell,10:14:08
50,-5.583,7,fell,10:14:13
51,-7.1738,15,fell,10:14:19
52,-5.2697,12,fell,10:14:25
53,-6.8647,23,fell,10:14:33
54,-5.0528,16,fell,10:14:40
55,-5.1595,6,fell,10:14:45
56,-6.2976,15,fell,10:14:51
57,8.7012,38,landed,10:15:01
58,-5.8697,21,fell,10:15:15
59,-5.012,18,fell,10:15:21
60,-5.6598,15,fell,10:15:28
61,-5.9708,13,fell,10:15:35
62,-5.4411,6,fell,10:15:40
63,8.396,42,landed,10:15:51
64,-5.0796,14,fell,10:16:02
65,-5.8213,11,fell,10:16:08
66,-5.6824,19,fell,10:16:15
67,-4.7,19,fell,10:16:23
68,-5.907,14,fell,10:16:29
69,-4.6965,12,fell,10:16:37
70,-5.9624,31,fell,10:16:46
71,11.69,9,landed,10:16:51
72,-5.5016,6,fell,10:17:07
73,-5.984,23,fell,10:17:15
74,9.2862,33,landed,10:17:25
75,-5.3,25,fell,10:17:39
76,8.8919,36,landed,10:17:49
77,-4.7878,8,fell,10:18:01
78,-5.1817,7,fell,10:18:06
79,-5.8938,9,fell,10:18:11
80,-6.1,33,fell,10:18:21
81,-5.6046,14,fell,10:18:27
82,-5.9361,10,fell,10:18:33
83,-4.1315,13,fell,10:18:39
84,-6.5132,13,fell,10:18:45
85,-5.0453,14,fell,10:18:52
86,-6.1531,22,fell,10:18:59
87,-4.9,21,fell,10:19:07
88,-5.6237,15,fell,10:19:13
89,10.5635,20,landed,10:19:20
90,-5.5425,10,fell,10:19:27
91,-4.8859,20,fell,10:19:35
92,-6.877,25,fell,10:19:43
93,-5.7512,14,fell,10:19:50
94,-6.0704,24,fell,10:19:58
95,-4.8563,9,fell,10:20:03
96,-5.8182,15,fell,10:20:10
97,-5.8769,14,fell,10:20:16
98,-5.1313,7,fell,10:20:21
99,-4.1,13,fell,10:20:27
100,-7.9913,29,fell,10:20:36
101,-6.8656,19,fell,10:20:43
102,9.8159,26,landed,10:20:52
103,-5.5883,20,fell,10:21:07
104,-4.7221,8,fell,10:21:12
105,-5.8911,23,fell,10:21:20
106,-5.1588,16,fell,10:21:27
107,-6.9092,16,fell,10:21:33
108,-5.0396,13,fell,10:21:39
109,-6.302,14,fell,10:21:46
110,-4.3743,13,fell,10:21:52
111,-5.1317,10,fell,10:21:58
112,-5.123,16,fell,10:22:04
113,-5.766,19,fell,10:22:11
114,-5.6786,13,fell,10:22:18
115,-5.6486,28,fell,10:22:26
116,-5.0725,8,fell,10:22:32
117,-5.9055,11,fell,10:22:38
118,-5.9485,21,fell,10:22:45
119,-5.2484,8,fell,10:22:50
120,-5.0327,9,fell,10:22:56
121,-6.3085,28,fell,10:23:04
122,-5.0862,6,fell,10:23:10
123,-5.3345,21,fell,10:23:17
124,-6.1396,30,fell,10:23:26
125,-6.4008,13,fell,10:23:32
126,-5.9271,11,fell,10:23:38
127,-5.9003,19,fell,10:23:45
128,-6.5179,33,fell,10:23:55
129,-5.253,6,fell,10:24:00
130,-5.0827,8,fell,10:24:05
131,-5.1865,7,fell,10:24:10
132,9.9143,25,landed,10:24:18
133,-5.375,7,fell,10:24:31
134,-4.3304,15,fell,10:24:38
135,-5.7611,20,fell,10:24:45
136,-5.2243,14,fell,10:24:52
137,-5.7987,9,fell,10:24:57
138,-6.3739,23,fell,10:25:05
139,-6.2772,30,fell,10:25:14
140,-6.5865,41,fell,10:25:25
141,-5.2255,6,fell,10:25:30
142,-4.0091,16,fell,10:25:37
143,10.6568,16,landed,10:25:43
144,-5.4019,10,fell,10:25:58
145,-4.2761,14,fell,10:26:05
146,-6.8362,21,fell,10:26:12
147,-4.749,18,fell,10:26:19
148,-6.289,20,fell,10:26:27
149,-5.2904,18,fell,10:26:34
150,-5.4378,6,fell,10:26:39
151,-5.5324,9,fell,10:26:44
152,-5.2338,14,fell,10:26:51
153,-4.4838,9,fell,10:26:56
154,-5.1918,3,fell,10:27:01
155,-5.1903,10,fell,10:27:07
156,-4.7,19,fell,10:27:14
157,-5.4552,11,fell,10:27:20
158,-5.3034,12,fell,10:27:26
159,-4.5928,13,fell,10:27:32
160,-6.3792,35,fell,10:27:42
161,-5.9,31,fell,10:27:51
162,-4.1339,12,fell,10:27:57
163,-5.896,31,fell,10:28:07
164,-5.0,22,fell,10:28:14
165,-5.0,22,fell,10:28:22
166,-5.1625,7,fell,10:28:27
167,-4.4048,12,fell,10:28:33
168,-5.1487,16,fell,10:28:40
169,-5.0747,18,fell,10:28:47
170,10.9262,16,landed,10:28:53
171,-5.4077,13,fell,10:29:09
172,-5.7431,10,fell,10:29:14
173,-5.2708,16,fell,10:29:21
174,-5.5876,8,fell,10:29:27
175,-5.6709,6,fell,10:29:32
176,-6.3572,35,fell,10:29:41
177,-5.6448,10,fell,10:29:47
178,-7.4316,27,fell,10:29:56
179,-5.5458,10,fell,10:30:01
180,-5.8553,18,fell,10:30:08
181,-5.6986,13,fell,10:30:14
182,-5.6602,22,fell,10:30:22
183,-4.3229,14,fell,10:30:28
184,-5.1321,7,fell,10:30:33
185,-4.7962,11,fell,10:30:39
186,-5.4429,11,fell,10:30:45
187,-5.1603,13,fell,10:30:52
188,-5.16,9,fell,10:30:57
189,-5.3476,14,fell,10:31:03
190,-4.4,16,fell,10:31:10
191,-4.8789,19,fell,10:31:17
192,-4.7549,13,fell,10:31:24
193,8.8508,37,landed,10:31:34
194,-5.1401,13,fell,10:31:46
195,11.0365,15,landed,10:31:53
196,-5.0,22,fell,10:32:01
197,-5.1335,6,fell,10:32:06
198,-5.4435,8,fell,10:32:11
199,-6.4354,19,fell,10:32:18
200,-4.9348,14,fell,10:32:25
201,-5.6375,28,fell,10:32:34
