update,policy_loss,value_loss,entropy
1,-0.019533,0.91124,2.456058
2,-0.001796,11.564676,2.456204
3,0.000289,33.056921,2.463022
4,-0.003674,12.599781,2.45862
5,-0.010398,15.262657,2.435053
6,-0.009504,7.218539,2.377075
7,0.001552,22.578144,2.368798
8,-0.01703,9.960205,2.297882
9,-0.000495,31.068597,2.26909
10,-0.009042,15.720013,2.24091
11,-0.000576,24.281295,2.195873
12,-0.012293,24.598089,2.112453
13,0.002023,45.876196,2.090279
14,-0.011554,28.802959,2.062046
15,0.000949,52.12391,2.065596
16,-0.008398,32.041865,2.041161
17,-0.00426,46.635734,2.000117
18,-0.004935,36.67009,1.967931
19,0.001006,53.531468,1.949132
20,-0.014903,41.122434,1.871396
21,-0.00484,41.653473,1.774777
22,0.004161,46.896208,1.769068
23,-0.015086,42.116184,1.672514
24,0.004174,50.216099,1.661148
25,-0.005384,47.654093,1.671976
26,-0.004279,43.858036,1.549787
27,-0.004819,46.104223,1.492006
28,-0.00143,43.727942,1.416156
29,-0.005136,36.987637,1.304748
30,-0.007904,37.429882,1.188658
