episode,reward,steps,outcome,env,timestamp
1,0.0,0,fell,bridging,16:21:14
2,0.0,0,fell,bridging,16:21:24
3,0.0,0,fell,bridging,16:21:30
4,0.0,0,fell,bridging,16:21:41
5,0.0,0,fell,bridging,16:22:04
6,0.0,0,fell,bridging,16:22:14
7,0.0,0,fell,bridging,16:22:22
8,0.0,0,fell,bridging,16:22:32
9,0.0,0,fell,bridging,16:22:43
10,0.0,0,fell,bridging,16:22:50
11,0.0,0,fell,bridging,16:23:01
12,0.0,0,fell,bridging,16:23:06
13,0.0,0,fell,bridging,16:23:17
14,0.0,0,fell,bridging,16:23:24
15,0.0,0,fell,bridging,16:23:33
16,0.0,0,fell,bridging,16:23:53
17,0.0,0,fell,bridging,16:24:01
18,0.0,0,fell,bridging,16:24:07
19,0.0,0,fell,bridging,16:24:15
20,0.0,0,fell,bridging,16:24:28
21,0.0,0,fell,bridging,16:24:56
22,0.0,0,fell,bridging,16:25:04
23,0.0,0,fell,bridging,16:25:12
24,0.0,0,fell,bridging,16:25:28
25,0.0,0,fell,bridging,16:25:37
26,0.0,0,fell,bridging,16:25:52
27,0.0,0,fell,bridging,16:25:58
28,0.0,0,fell,bridging,16:26:18
29,0.0,0,fell,bridging,16:26:30
30,0.0,0,fell,bridging,16:26:49
31,0.0,0,fell,bridging,16:26:58
32,0.0,0,fell,bridging,16:27:23
33,0.0,0,fell,bridging,16:27:32
34,0.0,0,fell,bridging,16:27:39
35,0.0,0,fell,bridging,16:27:48
36,0.0,0,fell,bridging,16:27:56
37,0.0,0,fell,bridging,16:28:06
38,0.0,0,fell,bridging,16:28:12
39,0.0,0,fell,bridging,16:28:38
40,0.0,0,fell,bridging,16:28:54
41,0.0,0,fell,bridging,16:29:22
42,0.0,0,fell,bridging,16:29:29
43,0.0,0,fell,bridging,16:29:38
44,0.0,0,fell,bridging,16:30:20
45,0.0,0,fell,bridging,16:30:47
46,0.0,0,fell,bridging,16:30:56
47,0.0,0,fell,bridging,16:31:16
48,0.0,0,fell,bridging,16:31:34
49,0.0,0,fell,bridging,16:31:40
50,0.0,0,fell,bridging,16:31:53
51,0.0,0,fell,bridging,16:32:01
52,0.0,0,fell,bridging,16:32:16
53,0.0,0,fell,bridging,16:32:24
54,0.0,0,fell,bridging,16:32:39
55,0.0,0,fell,bridging,16:32:46
56,0.0,0,fell,bridging,16:33:30
57,0.0,0,fell,bridging,16:33:41
58,0.0,0,fell,bridging,16:34:01
59,0.0,0,fell,bridging,16:34:10
60,0.0,0,fell,bridging,16:34:19
61,0.0,0,fell,bridging,16:34:51
62,0.0,0,fell,bridging,16:35:06
63,0.0,0,fell,bridging,16:35:13
64,0.0,0,fell,bridging,16:35:19
65,0.0,0,timeout,bridging,16:37:20
66,0.0,0,fell,bridging,16:37:41
67,0.0,0,fell,bridging,16:37:57
68,0.0,0,fell,bridging,16:38:26
69,0.0,0,fell,bridging,16:38:50
70,0.0,0,fell,bridging,16:39:00
71,0.0,0,fell,bridging,16:39:16
72,0.0,0,fell,bridging,16:39:29
73,0.0,0,fell,bridging,16:39:48
74,0.0,0,fell,bridging,16:40:04
75,0.0,0,fell,bridging,16:40:17
76,0.0,0,fell,bridging,16:40:27
77,0.0,0,fell,bridging,16:40:33
78,0.0,0,fell,bridging,16:41:02
79,0.0,0,fell,bridging,16:41:20
80,0.0,0,fell,bridging,16:41:27
81,0.0,0,fell,bridging,16:41:37
82,0.0,0,fell,bridging,16:41:43
83,0.0,0,fell,bridging,16:42:02
84,0.0,0,fell,bridging,16:42:17
85,0.0,0,fell,bridging,16:42:43
86,0.0,0,fell,bridging,16:42:51
