update,policy_loss,value_loss,entropy
1,-0.006326,55.358017,1.176231
2,-0.000797,40.049071,1.2303
3,-0.00214,27.303495,1.3
4,-0.000221,33.07149,1.157725
5,-0.001593,27.98978,1.294637
6,-0.01401,26.690462,1.202496
7,-0.005619,30.378182,1.110536
8,-0.00861,32.536168,1.101084
9,0.000683,41.000388,1.083986
10,-0.001523,33.264547,1.094321
11,0.000699,45.527187,1.101503
12,-0.000379,35.735519,1.023787
13,-0.004396,35.672457,0.977606
14,-0.001944,34.058943,0.965326
15,-0.003448,34.206769,0.970242
16,-0.005922,30.696748,1.047131
17,0.001313,47.709071,1.102458
18,-9.7e-05,38.368334,1.09779
19,-0.001843,33.598633,1.073409
20,-0.00432,37.916718,1.102682
21,-0.001711,38.278989,1.129426
22,-0.006089,41.187673,1.065671
23,-0.001962,34.649828,0.976408
24,-0.003981,23.912998,0.950689
25,0.001114,51.282183,1.005408
26,-0.010704,38.74014,0.982076
27,0.000353,36.995371,0.991705
28,-0.004722,38.764969,1.015431
29,0.001565,39.351251,1.036525
30,-0.003469,33.122295,0.945279
31,0.000647,41.909287,0.95759
32,-0.001733,38.59865,1.015458
33,0.000897,29.158939,1.001292
34,0.000889,41.913335,1.112689
35,-4.2e-05,36.717015,1.098989
36,0.000737,35.817222,1.111563
37,-0.001719,38.484547,1.034949
38,-0.001683,34.42868,1.091117
39,-0.003572,28.550726,1.037412
40,0.000491,28.833896,1.067284
41,-0.003942,37.102673,1.039377
42,-0.002714,32.771751,0.971639
43,0.000341,38.715392,1.009459
44,-0.003237,30.420146,0.970506
45,-0.00651,32.457972,1.000576
46,-0.002637,28.150395,1.001218
47,-0.002348,26.054651,0.979899
48,-0.003669,32.958373,0.982882
49,0.002082,37.537528,0.98539
