episode,reward,steps,outcome,timestamp
2001,-3.4,11,fell,19:31:13
2002,-3.5,12,fell,19:31:19
2003,-3.6,13,fell,19:31:25
2004,11.6813,13,landed,19:31:31
2005,-3.6708,12,fell,19:31:47
2006,11.6591,13,landed,19:31:53
2007,-3.6,13,fell,19:32:10
2008,-3.5,12,fell,19:32:16
2009,-3.7,14,fell,19:32:22
2010,11.6342,14,landed,19:32:28
2011,-3.5248,12,fell,19:32:44
2012,-3.4746,11,fell,19:32:50
2013,11.7974,13,landed,19:32:56
2014,-3.6,13,fell,19:33:12
2015,-3.6,13,fell,19:33:18
2016,11.5257,14,landed,19:33:24
2017,11.6294,13,landed,19:33:40
2018,-3.6,13,fell,19:33:56
2019,-3.6,13,fell,19:34:02
2020,11.4978,13,landed,19:34:09
2021,11.7064,13,landed,19:34:25
2022,-3.6,13,fell,19:34:41
2023,-3.6,13,fell,19:34:47
2024,11.5269,14,landed,19:34:53
2025,11.5201,13,landed,19:35:09
2026,11.6659,13,landed,19:35:25
2027,-3.6,13,fell,19:35:41
2028,-3.6,13,fell,19:35:47
2029,-3.6,13,fell,19:35:54
2030,-3.5419,12,fell,19:36:00
2031,11.6027,13,landed,19:36:06
2032,11.7019,13,landed,19:36:22
2033,-6.0223,39,fell,19:36:42
2034,11.5151,13,landed,19:36:48
2035,11.8528,12,landed,19:37:04
2036,11.4584,16,landed,19:37:21
2037,-3.5,12,fell,19:37:36
2038,-3.939,10,fell,19:37:43
2039,-3.7,14,fell,19:37:49
2040,11.6314,14,landed,19:37:55
2041,-3.5,12,fell,19:38:11
2042,-3.6,13,fell,19:38:17
2043,11.6576,13,landed,19:38:23
2044,11.6749,14,landed,19:38:39
2045,-3.5,12,fell,19:38:55
2046,-3.6543,12,fell,19:39:01
2047,-3.6,13,fell,19:39:07
2048,-3.4,11,fell,19:39:13
2049,-3.6,13,fell,19:39:19
2050,-3.6,13,fell,19:39:25
2051,11.5387,13,landed,19:39:31
2052,-3.4153,11,fell,19:39:47
2053,-3.5,12,fell,19:39:53
2054,-3.6,13,fell,19:39:59
2055,-3.6,13,fell,19:40:05
2056,-3.6,13,fell,19:40:11
2057,-3.6,13,fell,19:40:17
2058,-3.6733,11,fell,19:40:23
2059,-3.6,13,fell,19:40:29
2060,11.6759,14,landed,19:40:35
2061,-3.7116,14,fell,19:40:51
2062,-3.8591,13,fell,19:40:57
2063,11.6631,14,landed,19:41:04
2064,11.7095,13,landed,19:41:20
2065,-3.6,13,fell,19:41:36
2066,-3.6,13,fell,19:41:42
2067,-3.6368,12,fell,19:41:48
2068,-3.5,12,fell,19:41:54
2069,-3.6,13,fell,19:42:00
2070,-3.6,13,fell,19:42:06
2071,-3.6,13,fell,19:42:12
2072,11.4634,13,landed,19:42:18
2073,-3.6,13,fell,19:42:34
2074,-4.9108,23,fell,19:42:42
2075,-3.5178,12,fell,19:42:48
2076,-3.6329,12,fell,19:42:54
2077,11.6554,13,landed,19:43:00
2078,11.6114,12,landed,19:43:17
2079,-3.5,12,fell,19:43:32
2080,-3.6,13,fell,19:43:38
2081,-3.5024,12,fell,19:43:44
2082,-3.4314,11,fell,19:43:50
