episode,reward,steps,outcome,env,timestamp
16691,13.0026,12,landed,three_block_gap,15:46:39
16692,12.8604,11,landed,three_block_gap,15:46:44
16693,-3.68,8,fell,three_block_gap,15:46:51
16694,12.8633,11,landed,three_block_gap,15:46:57
16695,12.8604,11,landed,three_block_gap,15:47:04
16696,-2.9362,8,fell,three_block_gap,15:47:10
16697,-2.9615,8,fell,three_block_gap,15:47:16
16698,-3.6763,8,fell,three_block_gap,15:47:21
16699,12.8604,11,landed,three_block_gap,15:47:27
16700,-2.9375,8,fell,three_block_gap,15:47:33
16701,11.9228,10,landed,one_block_gap,15:47:55
16702,-4.7288,5,fell,one_block_gap,15:48:02
16703,12.2244,9,landed,one_block_gap,15:48:07
16704,11.957,10,landed,one_block_gap,15:48:15
16705,11.9636,10,landed,one_block_gap,15:48:22
16706,-4.0766,8,fell,one_block_gap,15:48:29
16707,11.906,10,landed,one_block_gap,15:48:36
16708,12.9348,13,landed,simple_jump,15:48:52
16709,12.8666,12,landed,simple_jump,15:48:59
16710,12.3176,11,landed,simple_jump,15:49:06
16711,-4.5046,7,fell,diagonal_small,15:49:22
16712,12.1157,11,landed,diagonal_small,15:49:28
16713,12.1931,11,landed,diagonal_small,15:49:35
16714,12.1222,11,landed,diagonal_small,15:49:42
16715,12.1974,11,landed,diagonal_small,15:49:50
16716,12.1144,11,landed,diagonal_small,15:49:57
16717,12.1047,11,landed,diagonal_small,15:50:04
16718,12.1222,11,landed,diagonal_small,15:50:11
16719,12.2054,11,landed,diagonal_small,15:50:18
16720,12.1047,11,landed,diagonal_small,15:50:25
16721,12.5849,14,landed,diagonal_medium,15:50:42
16722,-4.2079,9,fell,diagonal_medium,15:50:48
16723,-4.2079,9,fell,diagonal_medium,15:50:55
16724,12.6829,11,landed,vertical_small,15:51:11
16725,12.7254,10,landed,vertical_small,15:51:18
16726,12.8042,12,landed,vertical_small,15:51:25
16727,12.8044,12,landed,vertical_small,15:51:33
16728,12.7771,10,landed,vertical_small,15:51:39
16729,12.7254,10,landed,vertical_small,15:51:46
16730,12.754,10,landed,vertical_small,15:51:53
16731,-3.9622,6,fell,vertical_small,15:52:00
16732,12.5171,9,landed,vertical_small,15:52:07
16733,12.754,10,landed,vertical_small,15:52:15
16734,-2.9436,9,fell,three_block_gap,15:52:30
16735,-3.0162,8,fell,three_block_gap,15:52:36
16736,12.8633,11,landed,three_block_gap,15:52:42
16737,-2.9043,5,fell,three_block_gap,15:52:48
16738,-3.6762,8,fell,three_block_gap,15:52:53
16739,-2.9295,8,fell,three_block_gap,15:52:58
16740,-3.6994,8,fell,three_block_gap,15:53:04
16741,-3.7125,8,fell,three_block_gap,15:53:09
16742,-3.9861,8,fell,three_block_gap,15:53:14
16743,-3.7657,8,fell,three_block_gap,15:53:21
16744,-3.7299,8,fell,three_block_gap,15:53:25
16745,-3.6775,8,fell,three_block_gap,15:53:30
16746,-3.9861,8,fell,three_block_gap,15:53:35
16747,12.7338,11,landed,three_block_gap,15:53:41
16748,-1.8202,7,fell,three_block_gap,15:53:47
16749,12.8633,11,landed,three_block_gap,15:53:53
16750,-3.0102,8,fell,three_block_gap,15:54:00
16751,11.9228,10,landed,one_block_gap,15:54:23
